name,region,rating,kd,maps,kost,kpr,srv,plants,profile_url
EXIGE,EU,0.55,7-20 (-13),2,48%,0.28,20%,1,https://siege.gg/players/3485-exige
YXSHIRAU,EU,0.55,16-34 (-18),4,44%,0.42,10%,1,https://siege.gg/players/3959-yxshirau
DUDUCRVG,EU,0.49,15-36 (-21),4,40%,0.38,10%,0,https://siege.gg/players/3794-duducrvg
Chichoo,EU,0.47,17-38 (-21),5,28%,0.40,9%,0,https://siege.gg/players/3974-chichoo
AMERICANOWTF,EU,0.46,9-31 (-22),4,37%,0.24,16%,1,https://siege.gg/players/3890-americanowtf
TYSI,EU,0.42,4-15 (-11),2,37%,0.25,6%,0,https://siege.gg/players/3762-tysi
FROZEN,EU,0.41,4-15 (-11),2,31%,0.25,6%,0,https://siege.gg/players/1818-frozen
NEONLIGHT,EU,0.38,7-22 (-15),2,30%,0.30,4%,0,https://siege.gg/players/3927-neonlight
SOS,EU,0.3,11-46 (-35),6,26%,0.22,8%,0,https://siege.gg/players/3976-sos
Sitto,EU,0.2,5-29 (-24),4,24%,0.17,0%,0,https://siege.gg/players/3973-sitto
Direction,BR,1.44,94-42 (+52),8,80%,1.08,51%,1,https://siege.gg/players/2788-direction
VEXISS,BR,1.43,47-20 (+27),4,76%,1.12,52%,0,https://siege.gg/players/3970-vexiss
Aiden,BR,1.34,127-73 (+54),12,74%,1.03,40%,3,https://siege.gg/players/3749-aiden
DiasLucas,BR,1.29,78-43 (+35),8,81%,0.86,52%,0,https://siege.gg/players/2191-diaslucas
GUTTERO,BR,1.29,25-16 (+9),2,76%,1.00,36%,0,https://siege.gg/players/3957-guttero
txonly,BR,1.28,104-66 (+38),10,76%,0.96,38%,2,https://siege.gg/players/3873-txonly
JOWKKAEBI,BR,1.26,44-29 (+15),4,69%,1.05,30%,0,https://siege.gg/players/3250-jowkkaebi
HASAQUI,BR,1.26,118-84 (+34),12,71%,0.98,30%,0,https://siege.gg/players/3876-hasaqui
OnJuly,BR,1.24,76-47 (+29),8,73%,0.87,45%,1,https://siege.gg/players/2791-onjuly
fxrias,BR,1.24,162-110 (+52),15,68%,1.02,30%,1,https://siege.gg/players/3036-fxrias
MoonL1ght,BR,1.24,90-60 (+30),9,70%,0.94,37%,0,https://siege.gg/players/3866-moonl1ght
YaaaaZ,BR,1.24,79-50 (+29),9,77%,0.82,47%,0,https://siege.gg/players/3869-yaz
Rival,BR,1.22,83-55 (+28),8,77%,0.89,40%,0,https://siege.gg/players/3471-rival
POZO,BR,1.22,144-99 (+45),14,72%,0.91,37%,0,https://siege.gg/players/3832-pozo
ARK,BR,1.22,89-63 (+26),7,65%,1.03,26%,3,https://siege.gg/players/3901-ark
Romeo,BR,1.21,71-49 (+22),6,70%,1.00,30%,0,https://siege.gg/players/2781-mrzll
Snake,BR,1.21,87-59 (+28),8,69%,0.94,36%,0,https://siege.gg/players/2984-snake
Woogiman,BR,1.2,107-83 (+24),11,74%,0.91,29%,2,https://siege.gg/players/2515-woogiman
BUMPY,BR,1.2,40-31 (+9),4,67%,1.00,22%,1,https://siege.gg/players/3780-bumpy
DRILLZ,BR,1.2,64-46 (+18),5,64%,0.96,31%,0,https://siege.gg/players/3813-drillz
Legacy,BR,1.19,300-225 (+75),30,70%,0.87,34%,8,https://siege.gg/players/3527-legacy
Ambi,BR,1.18,317-242 (+75),31,69%,0.92,30%,9,https://siege.gg/players/3498-ambi
Creedz,BR,1.18,86-67 (+19),9,70%,0.88,31%,1,https://siege.gg/players/3499-creedz
PYROXZ,BR,1.18,171-127 (+44),16,68%,0.92,31%,2,https://siege.gg/players/3603-pyroxz
dan,BR,1.17,98-68 (+30),10,68%,0.90,37%,0,https://siege.gg/players/358-dan
Paluh,BR,1.17,368-273 (+95),39,68%,0.82,39%,3,https://siege.gg/players/680-paluh
EXER,BR,1.17,22-18 (+4),2,64%,0.88,28%,2,https://siege.gg/players/3496-exer
CRAZY,BR,1.16,41-31 (+10),4,68%,0.91,31%,1,https://siege.gg/players/1250-crazy
IVAN,BR,1.16,169-126 (+43),16,63%,0.91,32%,1,https://siege.gg/players/3210-ivan
Mcie,BR,1.16,78-62 (+16),9,75%,0.81,35%,3,https://siege.gg/players/3500-mcie
Robby,BR,1.16,73-57 (+16),9,67%,0.84,34%,2,https://siege.gg/players/3504-robby
TWEEDY,BR,1.16,52-42 (+10),5,69%,0.88,28%,1,https://siege.gg/players/3916-tweedy
Noa,BR,1.15,357-277 (+80),36,66%,0.87,32%,14,https://siege.gg/players/2895-noaurz
Stompn,BR,1.15,210-161 (+49),22,68%,0.84,35%,5,https://siege.gg/players/3752-stompn
Ra3LGuN,BR,1.15,69-55 (+14),9,76%,0.72,42%,7,https://siege.gg/players/3867-ra3lgun
ALAGARTE,BR,1.15,75-60 (+15),8,72%,0.86,31%,0,https://siege.gg/players/3877-alagarte
Gaveni,BR,1.14,257-212 (+45),26,70%,0.86,29%,5,https://siege.gg/players/3108-gaveni
GHOSTRIDDIK,BR,1.14,144-114 (+30),15,64%,0.87,30%,2,https://siege.gg/players/3807-ghostriddik
rockstarKa,BR,1.14,81-59 (+22),10,65%,0.75,45%,5,https://siege.gg/players/3871-ka
Shaiiko,BR,1.13,280-216 (+64),30,66%,0.88,32%,3,https://siege.gg/players/308-shaiiko
Handyy,BR,1.13,362-272 (+90),37,64%,0.89,33%,6,https://siege.gg/players/2822-handy
SELIMSHADY,BR,1.13,82-64 (+18),9,68%,0.85,33%,1,https://siege.gg/players/3946-selimshady
Future,BR,1.13,89-67 (+22),10,63%,0.89,33%,4,https://siege.gg/players/4008-future
soulz,BR,1.12,312-241 (+71),37,68%,0.77,40%,5,https://siege.gg/players/1386-soulz1
Kheyze,BR,1.12,283-220 (+63),29,64%,0.87,32%,1,https://siege.gg/players/2255-kheyze
Freq,BR,1.12,73-60 (+13),9,68%,0.84,31%,1,https://siege.gg/players/2383-notfreq
Gruby,BR,1.12,309-251 (+58),34,65%,0.86,30%,3,https://siege.gg/players/2688-gruby
Songla,BR,1.12,101-82 (+19),11,65%,0.90,26%,0,https://siege.gg/players/3272-songla
epic,BR,1.12,144-111 (+33),15,67%,0.83,35%,1,https://siege.gg/players/3741-epic
SHIFT.,BR,1.12,84-70 (+14),9,68%,0.82,32%,8,https://siege.gg/players/3820-shift
AKIREX,BR,1.12,56-47 (+9),5,70%,0.92,22%,1,https://siege.gg/players/3884-akirex
SHOXL,BR,1.12,76-62 (+14),9,66%,0.79,35%,2,https://siege.gg/players/3947-shoxl
Maia,BR,1.11,93-78 (+15),10,65%,0.85,29%,1,https://siege.gg/players/2276-maia
Reeps96,BR,1.11,145-110 (+35),16,62%,0.84,36%,2,https://siege.gg/players/2790-reeps96
RQNKR,BR,1.11,157-129 (+28),17,65%,0.82,32%,3,https://siege.gg/players/3510-rqnkr
Lyda,BR,1.11,83-66 (+17),10,67%,0.77,38%,6,https://siege.gg/players/3872-lyda
Lian,BR,1.11,105-91 (+14),12,65%,0.74,35%,7,https://siege.gg/players/3980-lian
VITAKING,BR,1.1,303-260 (+43),37,67%,0.75,35%,17,https://siege.gg/players/2323-vitaking
jume,BR,1.1,343-288 (+55),37,66%,0.83,30%,5,https://siege.gg/players/2381-jume
peres,BR,1.1,126-102 (+24),13,65%,0.89,27%,2,https://siege.gg/players/2654-peres
volpz,BR,1.1,333-274 (+59),35,65%,0.81,33%,10,https://siege.gg/players/2667-volpz
AZIAN,BR,1.1,147-121 (+26),15,64%,0.85,30%,1,https://siege.gg/players/3104-azian
Guto,BR,1.1,119-100 (+19),13,65%,0.84,29%,0,https://siege.gg/players/3131-guto
KIRU,BR,1.1,98-79 (+19),9,65%,0.87,30%,1,https://siege.gg/players/3459-kiru
ROTHERMEL,BR,1.1,34-31 (+3),3,66%,0.94,13%,0,https://siege.gg/players/3929-rothermel
BEAZR,BR,1.1,12-11 (+1),2,68%,0.63,42%,1,https://siege.gg/players/3932-beazr
GLOCK,BR,1.1,68-58 (+10),7,62%,0.85,27%,1,https://siege.gg/players/3937-glock
Arcox,BR,1.1,51-44 (+7),6,69%,0.74,36%,2,https://siege.gg/players/3993-arcox
bottomLove,BR,1.1,59-48 (+11),8,73%,0.68,44%,5,https://siege.gg/players/4006-bottomlove
Gunnar,BR,1.09,236-203 (+33),26,67%,0.79,32%,6,https://siege.gg/players/2393-gunnar
Solotov,BR,1.09,284-240 (+44),32,66%,0.87,26%,1,https://siege.gg/players/2623-solotov
Hashasky,BR,1.09,110-94 (+16),13,66%,0.78,33%,0,https://siege.gg/players/2784-hashaky
Hovenherst,BR,1.09,135-111 (+24),16,66%,0.78,35%,1,https://siege.gg/players/2924-hovenherst
DINIZ,BR,1.09,31-30 (+1),4,73%,0.74,28%,3,https://siege.gg/players/3197-diniz
GODVILLE,BR,1.09,74-61 (+13),8,62%,0.82,32%,1,https://siege.gg/players/3451-godville
NIKKES,BR,1.09,114-93 (+21),12,65%,0.82,33%,2,https://siege.gg/players/3860-nikkes
